kingdom,scientificName,taxonID,vernacularName,references,language,license,rightsHolder,datasetID,datasetName,occurrenceStatus,nomenclaturalCode,order,phylum,genus,class,status,family
Animalia,Alytes obstetricans,INBO_RL_AMP_1996_NONVAL_1,Vroedmeesterpad,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Alytes,Amphibia,ACCEPTED,Alytidae
Animalia,Rana arvalis,INBO_RL_AMP_1996_NONVAL_10,Heikikker,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Rana,Amphibia,ACCEPTED,Ranidae
Animalia,Rana esculenta synklepton,INBO_RL_AMP_1996_NONVAL_11,Groene kikker,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Rana,Amphibia,ACCEPTED,Ranidae
Animalia,Rana temporaria,INBO_RL_AMP_1996_NONVAL_12,Bruine kikker,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Rana,Amphibia,ACCEPTED,Ranidae
Animalia,Salamandra salamandra,INBO_RL_AMP_1996_NONVAL_13,Vuursalamander,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Caudata,Chordata,Salamandra,Amphibia,ACCEPTED,Salamandridae
Animalia,Triturus cristatus,INBO_RL_AMP_1996_NONVAL_14,Kamsalamander,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Caudata,Chordata,Triturus,Amphibia,ACCEPTED,Salamandridae
Animalia,Bombina variegata,INBO_RL_AMP_1996_NONVAL_2,Geelbuikvuurpad,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Bombina,Amphibia,ACCEPTED,Bombinatoridae
Animalia,Bufo bufo,INBO_RL_AMP_1996_NONVAL_3,Gewone pad,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Bufo,Amphibia,ACCEPTED,Bufonidae
Animalia,Bufo calamita,INBO_RL_AMP_1996_NONVAL_4,Rugstreeppad,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Epidalea,Amphibia,SYNONYM,Bufonidae
Animalia,Hyla arborea,INBO_RL_AMP_1996_NONVAL_5,Boomkikker,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Hyla,Amphibia,ACCEPTED,Hylidae
Animalia,Triturus alpestris,INBO_RL_AMP_1996_NONVAL_6,Alpenwatersalamander,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Caudata,Chordata,Ichthyosaura,Amphibia,SYNONYM,Salamandridae
Animalia,Triturus helveticus,INBO_RL_AMP_1996_NONVAL_7,Vinpootsalamander,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Caudata,Chordata,Lissotriton,Amphibia,SYNONYM,Salamandridae
Animalia,Triturus vulgaris,INBO_RL_AMP_1996_NONVAL_8,Kleine watersalamander,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Caudata,Chordata,Lissotriton,Amphibia,SYNONYM,Salamandridae
Animalia,Pelobates fuscus,INBO_RL_AMP_1996_NONVAL_9,Knoflookpad,BauwensClaus_1996,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,to_be_completed,"Validated Red Lists Flanders Flanders, Belgium",present,ICZN,Anura,Chordata,Pelobates,Amphibia,ACCEPTED,Pelobatidae
