"kingdom","scientificName","taxonID","vernacularName","references","language","license","rightsHolder","datasetID","datasetName","occurrenceStatus","usageKey","rank","order","matchType","phylum","genus","class","confidence","synonym","status","family"
"Animalia","Alytes obstetricans","INBO_RL_AMP_1996_NONVAL_1","Vroedmeesterpad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2426612,"SPECIES","Anura","EXACT","Chordata","Alytes","Amphibia",98,FALSE,"ACCEPTED","Alytidae"
"Animalia","Rana arvalis","INBO_RL_AMP_1996_NONVAL_10","Heikikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2426789,"SPECIES","Anura","EXACT","Chordata","Rana","Amphibia",98,FALSE,"ACCEPTED","Ranidae"
"Animalia","Rana esculenta synklepton","INBO_RL_AMP_1996_NONVAL_11","Groene kikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2422253,"GENUS","Anura","HIGHERRANK","Chordata","Rana","Amphibia",94,FALSE,"ACCEPTED","Ranidae"
"Animalia","Rana temporaria","INBO_RL_AMP_1996_NONVAL_12","Bruine kikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2426805,"SPECIES","Anura","EXACT","Chordata","Rana","Amphibia",98,FALSE,"ACCEPTED","Ranidae"
"Animalia","Salamandra salamandra","INBO_RL_AMP_1996_NONVAL_13","Vuursalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2431776,"SPECIES","Caudata","EXACT","Chordata","Salamandra","Amphibia",98,FALSE,"ACCEPTED","Salamandridae"
"Animalia","Triturus cristatus","INBO_RL_AMP_1996_NONVAL_14","Kamsalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2431885,"SPECIES","Caudata","EXACT","Chordata","Triturus","Amphibia",98,FALSE,"ACCEPTED","Salamandridae"
"Animalia","Bombina variegata","INBO_RL_AMP_1996_NONVAL_2","Geelbuikvuurpad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2423435,"SPECIES","Anura","EXACT","Chordata","Bombina","Amphibia",98,FALSE,"ACCEPTED","Bombinatoridae"
"Animalia","Bufo bufo","INBO_RL_AMP_1996_NONVAL_3","Gewone pad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",5217160,"SPECIES","Anura","EXACT","Chordata","Bufo","Amphibia",98,FALSE,"ACCEPTED","Bufonidae"
"Animalia","Bufo calamita","INBO_RL_AMP_1996_NONVAL_4","Rugstreeppad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",5216775,"SPECIES","Anura","EXACT","Chordata","Epidalea","Amphibia",98,TRUE,"SYNONYM","Bufonidae"
"Animalia","Hyla arborea","INBO_RL_AMP_1996_NONVAL_5","Boomkikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","present",2427573,"SPECIES","Anura","EXACT","Chordata","Hyla","Amphibia",98,FALSE,"ACCEPTED","Hylidae"
