"taxonID","redListCriteria","redListCriteriaEurope","criteria","eventDate","source","locality","countryCode","locationID","threadStatus"
"INBO_RL_AMP_1996_NONVAL_1","EN","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Endangered (EN)"
"INBO_RL_AMP_1996_NONVAL_10","NT","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_AMP_1996_NONVAL_11","LC","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_1996_NONVAL_12","LC","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_1996_NONVAL_13","VU","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_AMP_1996_NONVAL_14","NT","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_AMP_1996_NONVAL_2","RE","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Uitgestorven in Vlaanderen"
"INBO_RL_AMP_1996_NONVAL_3","LC","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_1996_NONVAL_4","NT","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_AMP_1996_NONVAL_5","CR","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_AMP_1996_NONVAL_6","LC","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_1996_NONVAL_7","NT","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_AMP_1996_NONVAL_8","LC","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_1996_NONVAL_9","EN","LC","Regional",1996,"BauwensClaus_1996","Flanders","BE","ISO_3166-2:BE-VLG","Endangered (EN)"
"INBO_RL_ANT_2013_NONVAL_1","CR",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_ANT_2013_NONVAL_10","VU",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_ANT_2013_NONVAL_11","VU",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_ANT_2013_NONVAL_12","EN",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (EN)"
"INBO_RL_ANT_2013_NONVAL_13","CR",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_ANT_2013_NONVAL_14","NE",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Niet ge<eb>valueerd"
"INBO_RL_ANT_2013_NONVAL_15","NE",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Niet ge<eb>valueerd"
"INBO_RL_ANT_2013_NONVAL_16","LC",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_ANT_2013_NONVAL_17","LC",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_ANT_2013_NONVAL_18","LC",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_ANT_2013_NONVAL_19","LC",,"Regional",2003,"Dekoninck_etal_2003","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
