"TaxonomicGroup";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"SpeciesnameAsPublished";"Speciesname";"UniqueID";"SpeciesnameDutch";"RLCAsPublished";"RLC_IUCN";"RLCEurope";"Criteria";"IUCNCriteria";"Biome";"Biotope1";"Biotope2";"Cuddliness";"Lifespan";"Mobility";"NutrientLevel";"Spine";"YearPublished";"Reference"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"calamita";"Bufo calamita";"Bufo calamita";"INBO_RL_AMP_2013_VAL_4";"Rugstreeppad";"Kwetsbaar";"VU";"LC";"IUCN";"B2a(i);C2a(i)";"Aquatic";"Heathlands";"Dunes";"NonCuddly";"Longlived";"Sedentary";"Oligotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Hyla";"arborea";"Hyla arborea";"Hyla arborea";"INBO_RL_AMP_2013_VAL_5";"Boomkikker";"Ernstig bedreigd";"CR";"LC";"IUCN";"B2a(i)b(iii)c(iv);C2a(i)";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Ichthyosaura";"alpestris";"Ichthyosaura alpestris";"Ichthyosaura alpestris";"INBO_RL_AMP_2013_VAL_6";"Alpenwatersalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"helveticus";"Lissotriton helveticus";"Lissotriton helveticus";"INBO_RL_AMP_2013_VAL_7";"Vinpootsalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Oligotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"vulgaris";"Lissotriton vulgaris";"Lissotriton vulgaris";"INBO_RL_AMP_2013_VAL_8";"Kleine watersalamander";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Pelobatidae";"Pelobates";"fuscus";"Pelobates fuscus";"Pelobates fuscus";"INBO_RL_AMP_2013_VAL_9";"Knoflookpad";"Ernstig bedreigd";"CR";"LC";"IUCN";"A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Accipitridae";"Accipiter";"gentilis";"Accipiter gentilis";"Accipiter gentilis";"INBO_RL_BIR_2004_VAL_1";"Havik";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"NonCuddly";"Longlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Aix";"sponsa";"Aix sponsa";"Aix sponsa";"INBO_RL_BIR_2004_VAL_10";"Carolina-eend";"Niet-inheemse broedvogel";"NA";"NE";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Corvidae";"Garrulus";"glandarius";"Garrulus glandarius";"Garrulus glandarius";"INBO_RL_BIR_2004_VAL_100";"Gaai";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Haematopodidae";"Haematopus";"ostralegus";"Haematopus ostralegus";"Haematopus ostralegus";"INBO_RL_BIR_2004_VAL_101";"Scholekster";"Momenteel niet bedreigd";"LC";"VU";"Regional";"";"Terrestrial";"Agriculture";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Recurvirostridae";"Himantopus";"himantopus";"Himantopus himantopus";"Himantopus himantopus";"INBO_RL_BIR_2004_VAL_102";"Steltkluut";"Zeldzaam";"NT";"LC";"Regional";"";"Terrestrial";"Marshes";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Hippolais";"icterina";"Hippolais icterina";"Hippolais icterina";"INBO_RL_BIR_2004_VAL_103";"Spotvogel";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Hippolais";"polyglotta";"Hippolais polyglotta";"Hippolais polyglotta";"INBO_RL_BIR_2004_VAL_104";"Orpheusspotvogel";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Hirundinidae";"Hirundo";"rustica";"Hirundo rustica";"Hirundo rustica";"INBO_RL_BIR_2004_VAL_105";"Boerenzwaluw";"Achteruitgaand";"NT";"LC";"Regional";"";"Terrestrial";"Agriculture";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Pelecaniformes";"Ardeidae";"Ixobrychus";"minutus";"Ixobrychus minutus";"Ixobrychus minutus";"INBO_RL_BIR_2004_VAL_106";"Woudaap";"Met uitsterven bedreigd";"CR";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Piciformes";"Picidae";"Jynx";"torquilla";"Jynx torquilla";"Jynx torquilla";"INBO_RL_BIR_2004_VAL_107";"Draaihals";"Met uitsterven bedreigd";"CR";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Laniidae";"Lanius";"collurio";"Lanius collurio";"Lanius collurio";"INBO_RL_BIR_2004_VAL_108";"Grauwe klauwier";"Met uitsterven bedreigd";"CR";"LC";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Laniidae";"Lanius";"excubitor";"Lanius excubitor";"Lanius excubitor";"INBO_RL_BIR_2004_VAL_109";"Klapekster";"Met uitsterven bedreigd";"CR";"VU";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Oligotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"arvensis";"Alauda arvensis";"Alauda arvensis";"INBO_RL_BIR_2004_VAL_11";"Veldleeuwerik";"Kwetsbaar";"VU";"LC";"Regional";"";"Terrestrial";"Agriculture";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Laniidae";"Lanius";"senator";"Lanius senator";"Lanius senator";"INBO_RL_BIR_2004_VAL_110";"Roodkopklauwier";"Zeldzaam";"NT";"LC";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"cachinnans";"Larus cachinnans";"Larus cachinnans";"INBO_RL_BIR_2004_VAL_111";"Pontische meeuw";"Momenteel niet bedreigd";"LC";"NT";"Regional";"";"Terrestrial";"Dunes";"Urban";"Cuddly";"Longlived";"Mobile";"Oligotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"canus";"Larus canus";"Larus canus";"INBO_RL_BIR_2004_VAL_112";"Stormmeeuw";"Zeldzaam";"NT";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"fuscus";"Larus fuscus";"Larus fuscus";"INBO_RL_BIR_2004_VAL_113";"Kleine mantelmeeuw";"Kwetsbaar";"VU";"LC";"Regional";"";"Terrestrial";"Dunes";"Urban";"Cuddly";"Longlived";"Mobile";"Oligotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"marinus";"Larus marinus";"Larus marinus";"INBO_RL_BIR_2004_VAL_114";"Grote mantelmeeuw";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"melanocephalus";"Larus melanocephalus";"Larus melanocephalus";"INBO_RL_BIR_2004_VAL_115";"Zwartkopmeeuw";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"michahellis";"Larus michahellis";"Larus michahellis";"INBO_RL_BIR_2004_VAL_116";"Geelpootmeeuw";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Larus";"ridibundus";"Larus ridibundus";"Larus ridibundus";"INBO_RL_BIR_2004_VAL_117";"Kokmeeuw";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Limosa";"limosa";"Limosa limosa";"Limosa limosa";"INBO_RL_BIR_2004_VAL_118";"Grutto";"Momenteel niet bedreigd";"LC";"VU";"Regional";"";"Terrestrial";"Grasslands";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Locustella";"luscinioides";"Locustella luscinioides";"Locustella luscinioides";"INBO_RL_BIR_2004_VAL_119";"Snor";"Met uitsterven bedreigd";"CR";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Coraciiformes";"Alcedinidae";"Alcedo";"atthis";"Alcedo atthis";"Alcedo atthis";"INBO_RL_BIR_2004_VAL_12";"IJsvogel";"Momenteel niet bedreigd";"LC";"VU";"Regional";"";"SemiAquatic";"RunningWaters";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Locustella";"naevia";"Locustella naevia";"Locustella naevia";"INBO_RL_BIR_2004_VAL_120";"Sprinkhaanzanger";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Fringillidae";"Loxia";"curvirostra";"Loxia curvirostra";"Loxia curvirostra";"INBO_RL_BIR_2004_VAL_121";"Kruisbek";"Onvoldoende gekend";"DD";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Fringillidae";"Loxia";"pytyopsittacus";"Loxia pytyopsittacus";"Loxia pytyopsittacus";"INBO_RL_BIR_2004_VAL_122";"Grote kruisbek";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Lullula";"arborea";"Lullula arborea";"Lullula arborea";"INBO_RL_BIR_2004_VAL_123";"Boomleeuwerik";"Kwetsbaar";"VU";"LC";"Regional";"";"Terrestrial";"Heathlands";"";"Cuddly";"Shortlived";"Mobile";"Oligotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Muscicapidae";"Luscinia";"megarhynchos";"Luscinia megarhynchos";"Luscinia megarhynchos";"INBO_RL_BIR_2004_VAL_124";"Nachtegaal";"Kwetsbaar";"VU";"LC";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Muscicapidae";"Luscinia";"svecica";"Luscinia svecica";"Luscinia svecica";"INBO_RL_BIR_2004_VAL_125";"Blauwborst";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Coraciiformes";"Meropidae";"Merops";"apiaster";"Merops apiaster";"Merops apiaster";"INBO_RL_BIR_2004_VAL_126";"Bijeneter";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Accipitridae";"Milvus";"migrans";"Milvus migrans";"Milvus migrans";"INBO_RL_BIR_2004_VAL_127";"Zwarte wouw";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Accipitridae";"Milvus";"milvus";"Milvus milvus";"Milvus milvus";"INBO_RL_BIR_2004_VAL_128";"Rode wouw";"Zeldzaam";"NT";"NT";"Regional";"";"Terrestrial";"Woodlands";"";"NonCuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Motacillidae";"Motacilla";"alba";"Motacilla alba";"Motacilla alba";"INBO_RL_BIR_2004_VAL_129";"Witte kwikstaart";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Eurytopic";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Alopochen";"aegyptiacus";"Alopochen aegyptiacus";"Alopochen aegyptiacus";"INBO_RL_BIR_2004_VAL_13";"Nijlgans";"Niet-inheemse broedvogel";"NA";"NE";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Motacillidae";"Motacilla";"cinerea";"Motacilla cinerea";"Motacilla cinerea";"INBO_RL_BIR_2004_VAL_130";"Grote gele kwikstaart";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"SemiAquatic";"RunningWaters";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Motacillidae";"Motacilla";"flava";"Motacilla flava";"Motacilla flava";"INBO_RL_BIR_2004_VAL_131";"Gele kwikstaart";"Achteruitgaand";"NT";"LC";"Regional";"";"Terrestrial";"Grasslands";"Agriculture";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Muscicapidae";"Muscicapa";"striata";"Muscicapa striata";"Muscicapa striata";"INBO_RL_BIR_2004_VAL_132";"Grauwe vliegenvanger";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Shrubs";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Netta";"rufina";"Netta rufina";"Netta rufina";"INBO_RL_BIR_2004_VAL_133";"Krooneend";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Corvidae";"Nucifraga";"caryocatactes";"Nucifraga caryocatactes";"Nucifraga caryocatactes";"INBO_RL_BIR_2004_VAL_134";"Notenkraker";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Numenius";"arquata";"Numenius arquata";"Numenius arquata";"INBO_RL_BIR_2004_VAL_135";"Wulp";"Momenteel niet bedreigd";"LC";"VU";"Regional";"";"Terrestrial";"Grasslands";"Heathlands";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Pelecaniformes";"Ardeidae";"Nycticorax";"nycticorax";"Nycticorax nycticorax";"Nycticorax nycticorax";"INBO_RL_BIR_2004_VAL_136";"Kwak";"Zeldzaam";"NT";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Longlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Muscicapidae";"Oenanthe";"oenanthe";"Oenanthe oenanthe";"Oenanthe oenanthe";"INBO_RL_BIR_2004_VAL_137";"Tapuit";"Met uitsterven bedreigd";"CR";"LC";"Regional";"";"Terrestrial";"Dunes";"";"Cuddly";"Shortlived";"Mobile";"Oligotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Oriolidae";"Oriolus";"oriolus";"Oriolus oriolus";"Oriolus oriolus";"INBO_RL_BIR_2004_VAL_138";"Wielewaal";"Bedreigd";"EN";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Pandionidae";"Pandion";"haliaetus";"Pandion haliaetus";"Pandion haliaetus";"INBO_RL_BIR_2004_VAL_139";"Visarend";"Onregelmatige broedvogel";"NE";"LC";"Regional";"";"";"";"";"";"";"";"";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Anas";"acuta";"Anas acuta";"Anas acuta";"INBO_RL_BIR_2004_VAL_14";"Pijlstaart";"Zeldzaam";"NT";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Timaliidae";"Panurus";"biarmicus";"Panurus biarmicus";"Panurus biarmicus";"INBO_RL_BIR_2004_VAL_140";"Baardmannetje";"Zeldzaam";"NT";"LC";"Regional";"";"SemiAquatic";"Marshes";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Paridae";"Parus";"ater";"Parus ater";"Parus ater";"INBO_RL_BIR_2004_VAL_141";"Zwarte mees";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Paridae";"Parus";"caeruleus";"Parus caeruleus";"Parus caeruleus";"INBO_RL_BIR_2004_VAL_142";"Pimpelmees";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Eurytopic";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Paridae";"Parus";"cristatus";"Parus cristatus";"Parus cristatus";"INBO_RL_BIR_2004_VAL_143";"Kuifmees";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Woodlands";"";"Cuddly";"Shortlived";"Mobile";"Mesotrophic";"Vertebrate";2004.00;"Devos_etal_2004"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Paridae";"Parus";"major";"Parus major";"Parus major";"INBO_RL_BIR_2004_VAL_144";"Koolmees";"Momenteel niet bedreigd";"LC";"LC";"Regional";"";"Terrestrial";"Eurytopic";"";"Cuddly";"Shortlived";"Mobile";"Eutrophic";"Vertebrate";2004.00;"Devos_etal_2004"
