"TaxonomicGroup";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"SpeciesnameAsPublished";"Speciesname";"UniqueID";"SpeciesnameDutch";"RLCAsPublished";"RLC_IUCN";"RLCEurope";"Criteria";"IUCNCriteria";"Biome";"Biotope1";"Biotope2";"Cuddliness";"Lifespan";"Mobility";"NutrientLevel";"Spine";"YearPublished";"Reference"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Alytidae";"Alytes";"obstetricans";"Alytes obstetricans";"Alytes obstetricans";"INBO_RL_AMP_2013_VAL_1";"Vroedmeesterpad";"Bedreigd";"EN";"LC";"IUCN";"B2a(i)b(iii)c(iv);C2a(i)";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Pelophylax";"kl. Esculentus";"Pelophylax kl. esculentus";"Pelophylax klepton esculentus";"INBO_RL_AMP_2013_VAL_10";"Bastaardkikker";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"Eurytopic";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Pelophylax";"lessonae";"Pelophylax lessonae";"Pelophylax lessonae";"INBO_RL_AMP_2013_VAL_11";"Poelkikker";"Bijna in gevaar";"NT";"LC";"IUCN";"A2c;B2a(i)b(ii,iii)";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Oligotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Pelophylax";"ridibundus";"Pelophylax ridibundus";"Pelophylax ridibundus";"INBO_RL_AMP_2013_VAL_12";"Europese meerkikker";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Rana";"arvalis";"Rana arvalis";"Rana arvalis";"INBO_RL_AMP_2013_VAL_13";"Heikikker";"Kwetsbaar";"VU";"LC";"IUCN";"B2a(i)b(iii)";"Aquatic";"Heathlands";"";"NonCuddly";"Longlived";"Sedentary";"Oligotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Rana";"temporaria";"Rana temporaria";"Rana temporaria";"INBO_RL_AMP_2013_VAL_14";"Bruine kikker";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"Eurytopic";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Salamandra";"salamandra";"Salamandra salamandra";"Salamandra salamandra";"INBO_RL_AMP_2013_VAL_15";"Vuursalamander";"Kwetsbaar";"VU";"LC";"IUCN";"B2a(i)b(iii);C2a(i)";"Aquatic";"Woodlands";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Triturus";"cristatus";"Triturus cristatus";"Triturus cristatus";"INBO_RL_AMP_2013_VAL_16";"Kamsalamander";"Kwetsbaar";"VU";"LC";"IUCN";"A2c;B2a(i)b(ii,iii)";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bombinatoridae";"Bombina";"variegata";"Bombina variegata";"Bombina variegata";"INBO_RL_AMP_2013_VAL_2";"Geelbuikvuurpad";"Regionaal uitgestorven";"RE";"LC";"IUCN";"";"Aquatic";"StandingWaters";"";"NonCuddly";"Longlived";"Sedentary";"Mesotrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"bufo";"Bufo bufo";"Bufo bufo";"INBO_RL_AMP_2013_VAL_3";"Gewone pad";"Momenteel niet in gevaar";"LC";"LC";"IUCN";"";"Aquatic";"Eurytopic";"";"NonCuddly";"Longlived";"Sedentary";"Eutrophic";"Vertebrate";2013.00;"Jooris_etal_2012"
