"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","taxonID","kingdom1","scientificName1","vernacularName","references","language","license","rightsHolder","datasetID","datasetName","threadStatus","occurrenceStatus"
2426612,"Alytes obstetricans (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Alytes","Amphibia",98,FALSE,"ACCEPTED","Alytidae","INBO:RL:VAL:AMP:2013:15","Animalia","Alytes obstetricans","Vroedmeesterpad","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Endangered (EN)","present"
2423435,"Bombina variegata (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bombina","Amphibia",98,FALSE,"ACCEPTED","Bombinatoridae","INBO:RL:VAL:AMP:2013:16","Animalia","Bombina variegata","Geelbuikvuurpad","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Regionally Extinct (EX)","present"
5217160,"Bufo bufo (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bufo","Amphibia",98,FALSE,"ACCEPTED","Bufonidae","INBO:RL:VAL:AMP:2013:17","Animalia","Bufo bufo","Gewone pad","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
5216775,"Bufo calamita Laurenti, 1768","SPECIES","Anura","EXACT","Chordata","Animalia","Epidalea","Amphibia",98,TRUE,"SYNONYM","Bufonidae","INBO:RL:VAL:AMP:2013:18","Animalia","Bufo calamita","Rugstreeppad","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Vulnerable (VU)","present"
2427573,"Hyla arborea (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Hyla","Amphibia",98,FALSE,"ACCEPTED","Hylidae","INBO:RL:VAL:AMP:2013:19","Animalia","Hyla arborea","Boomkikker","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Critically Endangered (CR)","present"
2431783,"Ichthyosaura alpestris (Laurenti, 1768)","SPECIES","Caudata","EXACT","Chordata","Animalia","Ichthyosaura","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:20","Animalia","Ichthyosaura alpestris","Alpenwatersalamander","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
5218410,"Lissotriton helveticus (Razoumovsky, 1789)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:21","Animalia","Lissotriton helveticus","Vinpootsalamander","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
5218405,"Lissotriton vulgaris (Linnaeus, 1758)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:22","Animalia","Lissotriton vulgaris","Kleine watersalamander","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
2430567,"Pelobates fuscus (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Pelobates","Amphibia",98,FALSE,"ACCEPTED","Pelobatidae","INBO:RL:VAL:AMP:2013:23","Animalia","Pelobates fuscus","Knoflookpad","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Critically Endangered (CR)","present"
7491208,"Pelophylax kl","SPECIES","Anura","HIGHERRANK","Chordata","Animalia","Pelophylax","Amphibia",97,FALSE,"ACCEPTED","Ranidae","INBO:RL:VAL:AMP:2013:24","Animalia","Pelophylax kl. esculentus","Bastaardkikker","Jooris_etal_2012","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
