taxonID,description,type,source,language
INBO_RL_AMP_2013_VAL_1,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_1,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,eurytopic,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_10,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_11,oligotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_12,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,heathlands,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_13,oligotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,eurytopic,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_14,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,woodlands,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_15,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_16,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_2,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,eurytopic,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_3,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,heathlands,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,dunes,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_4,oligotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_5,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_6,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_7,oligotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_8,eutrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,aquatic,biome,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,standing waters,biotope1,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,,biotope2,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,longlived,lifespan,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,non cuddly,cuddliness,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,sedentary,mobility,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,vertebrate,spine,Jooris_etal_2012,en
INBO_RL_AMP_2013_VAL_9,mesotrophic,nutrient_level,Jooris_etal_2012,en
INBO_RL_BIR_2004_VAL_1,terrestrial,biome,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,woodlands,biotope1,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,,biotope2,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,longlived,lifespan,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,non cuddly,cuddliness,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,mobile,mobility,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,vertebrate,spine,Devos_etal_2004,en
INBO_RL_BIR_2004_VAL_1,mesotrophic,nutrient_level,Devos_etal_2004,en
