"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","taxonID","kingdom1","scientificName1","vernacularName","references","language","license","rightsHolder","datasetID","datasetName","threadStatus","occurrenceStatus"
2426612,"Alytes obstetricans (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Alytes","Amphibia",98,FALSE,"ACCEPTED","Alytidae","INBO:RL:NONVAL:AMP:1996:1","Animalia","Alytes obstetricans","Vroedmeesterpad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Endangered (EN)","present"
2431776,"Salamandra salamandra (Linnaeus, 1758)","SPECIES","Caudata","EXACT","Chordata","Animalia","Salamandra","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:NONVAL:AMP:1996:10","Animalia","Salamandra salamandra","Vuursalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Vulnerable (VU)","present"
2431785,"Triturus alpestris (Laurenti, 1768)","SPECIES","Caudata","EXACT","Chordata","Animalia","Ichthyosaura","Amphibia",98,TRUE,"SYNONYM","Salamandridae","INBO:RL:NONVAL:AMP:1996:11","Animalia","Triturus alpestris","Alpenwatersalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
2431885,"Triturus cristatus (Laurenti, 1768)","SPECIES","Caudata","EXACT","Chordata","Animalia","Triturus","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:NONVAL:AMP:1996:12","Animalia","Triturus cristatus","Kamsalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Near Threatened (NT)","present"
2431911,"Triturus helveticus (Razoumovsky, 1789)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,TRUE,"SYNONYM","Salamandridae","INBO:RL:NONVAL:AMP:1996:13","Animalia","Triturus helveticus","Vinpootsalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Near Threatened (NT)","present"
2431895,"Triturus vulgaris (Linnaeus, 1758)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,TRUE,"SYNONYM","Salamandridae","INBO:RL:NONVAL:AMP:1996:14","Animalia","Triturus vulgaris","Kleine watersalamander","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
2423435,"Bombina variegata (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bombina","Amphibia",98,FALSE,"ACCEPTED","Bombinatoridae","INBO:RL:NONVAL:AMP:1996:2","Animalia","Bombina variegata","Geelbuikvuurpad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Regionally Extinct (REX) in Flanders","present"
5217160,"Bufo bufo (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bufo","Amphibia",98,FALSE,"ACCEPTED","Bufonidae","INBO:RL:NONVAL:AMP:1996:3","Animalia","Bufo bufo","Gewone pad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Least Concern (LC)","present"
5216775,"Bufo calamita Laurenti, 1768","SPECIES","Anura","EXACT","Chordata","Animalia","Epidalea","Amphibia",98,TRUE,"SYNONYM","Bufonidae","INBO:RL:NONVAL:AMP:1996:4","Animalia","Bufo calamita","Rugstreeppad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Near Threatened (NT)","present"
2427573,"Hyla arborea (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Hyla","Amphibia",98,FALSE,"ACCEPTED","Hylidae","INBO:RL:NONVAL:AMP:1996:5","Animalia","Hyla arborea","Boomkikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Critically Endangered (CR)","present"
2430567,"Pelobates fuscus (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Pelobates","Amphibia",98,FALSE,"ACCEPTED","Pelobatidae","INBO:RL:NONVAL:AMP:1996:6","Animalia","Pelobates fuscus","Knoflookpad","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Endangered (EN)","present"
2426789,"Rana arvalis Nilsson, 1842","SPECIES","Anura","EXACT","Chordata","Animalia","Rana","Amphibia",98,FALSE,"ACCEPTED","Ranidae","INBO:RL:NONVAL:AMP:1996:7","Animalia","Rana arvalis","Heikikker","BauwensClaus_1996","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Validated Red Lists Flanders Flanders, Belgium","Near Threatened (NT)","present"
