"taxonID","redListCriteria","redListCriteriaEurope","criteria","occurrenceRemarks","biome","biotope1","cuddliness","lifespan","mobility","nutrient_level","spine","eventDate","source","locality","countryCode","locationID","threadStatus"
"INBO_RL_AMP_2013_VAL_1","EN","LC","IUCN","B2a(i)b(iii)c(iv);C2a(i)","Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Endangered (EN)"
"INBO_RL_AMP_2013_VAL_10","LC","LC","IUCN",,"Aquatic","Eurytopic","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_11","NT","LC","IUCN","A2c;B2a(i)b(ii,iii)","Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Oligotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_AMP_2013_VAL_12","LC","LC","IUCN",,"Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_13","VU","LC","IUCN","B2a(i)b(iii)","Aquatic","Heathlands","NonCuddly","Longlived","Sedentary","Oligotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_AMP_2013_VAL_14","LC","LC","IUCN",,"Aquatic","Eurytopic","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_15","VU","LC","IUCN","B2a(i)b(iii);C2a(i)","Aquatic","Woodlands","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_AMP_2013_VAL_16","VU","LC","IUCN","A2c;B2a(i)b(ii,iii)","Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_AMP_2013_VAL_2","RE","LC","IUCN",,"Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Regionally Extinct (EX)"
"INBO_RL_AMP_2013_VAL_3","LC","LC","IUCN",,"Aquatic","Eurytopic","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_4","VU","LC","IUCN","B2a(i);C2a(i)","Aquatic","Heathlands","NonCuddly","Longlived","Sedentary","Oligotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_AMP_2013_VAL_5","CR","LC","IUCN","B2a(i)b(iii)c(iv);C2a(i)","Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_AMP_2013_VAL_6","LC","LC","IUCN",,"Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_7","LC","LC","IUCN",,"Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Oligotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_8","LC","LC","IUCN",,"Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Eutrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_AMP_2013_VAL_9","CR","LC","IUCN","A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)","Aquatic","StandingWaters","NonCuddly","Longlived","Sedentary","Mesotrophic","Vertebrate",2013,"Jooris_etal_2012","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_1","LC","LC","Regional",,"Terrestrial","Woodlands","NonCuddly","Longlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_10",,"NE","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Niet-inheemse broedvogel"
"INBO_RL_BIR_2004_VAL_100","LC","LC","Regional",,"Terrestrial","Woodlands","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_101","LC","VU","Regional",,"Terrestrial","Agriculture","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_102","NT","LC","Regional",,"Terrestrial","Marshes","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_BIR_2004_VAL_103","LC","LC","Regional",,"Terrestrial","Shrubs","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_104","NE","LC","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Onregelmatige broedvogel"
"INBO_RL_BIR_2004_VAL_105","NT","LC","Regional",,"Terrestrial","Agriculture","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_BIR_2004_VAL_106","CR","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_107","CR","LC","Regional",,"Terrestrial","Woodlands","Cuddly","Shortlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_108","CR","LC","Regional",,"Terrestrial","Shrubs","Cuddly","Shortlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_109","CR","VU","Regional",,"Terrestrial","Shrubs","Cuddly","Shortlived","Mobile","Oligotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_11","VU","LC","Regional",,"Terrestrial","Agriculture","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_BIR_2004_VAL_110","NT","LC","Regional",,"Terrestrial","Shrubs","Cuddly","Shortlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_BIR_2004_VAL_111","LC","NT","Regional",,"Terrestrial","Dunes","Cuddly","Longlived","Mobile","Oligotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_112","NT","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Near Threatened (NT)"
"INBO_RL_BIR_2004_VAL_113","VU","LC","Regional",,"Terrestrial","Dunes","Cuddly","Longlived","Mobile","Oligotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_BIR_2004_VAL_114","NE","LC","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Onregelmatige broedvogel"
"INBO_RL_BIR_2004_VAL_115","LC","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_116","NE","LC","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Onregelmatige broedvogel"
"INBO_RL_BIR_2004_VAL_117","LC","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_118","LC","VU","Regional",,"Terrestrial","Grasslands","Cuddly","Longlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_119","CR","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Critically Endangered (CR)"
"INBO_RL_BIR_2004_VAL_12","LC","VU","Regional",,"SemiAquatic","RunningWaters","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_120","LC","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Shortlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_121","DD","LC","Regional",,"Terrestrial","Woodlands","Cuddly","Shortlived","Mobile","Mesotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Data Deficient (DD)"
"INBO_RL_BIR_2004_VAL_122","NE","LC","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Onregelmatige broedvogel"
"INBO_RL_BIR_2004_VAL_123","VU","LC","Regional",,"Terrestrial","Heathlands","Cuddly","Shortlived","Mobile","Oligotrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_BIR_2004_VAL_124","VU","LC","Regional",,"Terrestrial","Shrubs","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Vulnerable (VU)"
"INBO_RL_BIR_2004_VAL_125","LC","LC","Regional",,"SemiAquatic","Marshes","Cuddly","Shortlived","Mobile","Eutrophic","Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Least Concern (LC)"
"INBO_RL_BIR_2004_VAL_126","NE","LC","Regional",,,,,,,,"Vertebrate",2004,"Devos_etal_2004","Flanders","BE","ISO_3166-2:BE-VLG","Onregelmatige broedvogel"
