taxonID,occurrenceRemarks,eventDate,source,locality,occurrenceStatus,countryCode,locationID,threadStatus,establishmentMeans
INBO_RL_AMP_2013_VAL_1,B2a(i)b(iii)c(iv);C2a(i),2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Endangered (EN),native
INBO_RL_AMP_2013_VAL_10,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_AMP_2013_VAL_11,"A2c;B2a(i)b(ii,iii)",2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Near Threatened (NT),native
INBO_RL_AMP_2013_VAL_12,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_AMP_2013_VAL_13,B2a(i)b(iii),2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native
INBO_RL_AMP_2013_VAL_14,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_AMP_2013_VAL_15,B2a(i)b(iii);C2a(i),2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native
INBO_RL_AMP_2013_VAL_16,"A2c;B2a(i)b(ii,iii)",2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native
INBO_RL_AMP_2013_VAL_2,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Regionally Extinct (EX),native
INBO_RL_AMP_2013_VAL_3,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_AMP_2013_VAL_4,B2a(i);C2a(i),2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Vulnerable (VU),native
INBO_RL_AMP_2013_VAL_5,B2a(i)b(iii)c(iv);C2a(i),2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Critically Endangered (CR),native
INBO_RL_AMP_2013_VAL_6,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
INBO_RL_AMP_2013_VAL_7,,2013,Jooris_etal_2012,Flanders,present,BE,ISO_3166-2:BE-VLG,Least Concern (LC),native
