language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_4,Bufo calamita,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,species,Rugstreeppad,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_5,Hyla arborea,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,species,Boomkikker,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_6,Ichthyosaura alpestris,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,species,Alpenwatersalamander,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_7,Lissotriton helveticus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,species,Vinpootsalamander,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_8,Lissotriton vulgaris,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,species,Kleine watersalamander,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_AMP_2013_VAL_9,Pelobates fuscus,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,species,Knoflookpad,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_1,Accipiter gentilis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,species,Havik,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_10,Aix sponsa,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,species,Carolina-eend,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_100,Garrulus glandarius,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,species,Gaai,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_101,Haematopus ostralegus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,species,Scholekster,ICZN,accepted
