reference,taxonomic_group,source_red_list,source_for_traits
Maes_VanDyck_1999,Butterflies,Maes and Van Dyck (2001),Maes et al. (2013)
Decleer_etal_2000,Grasshoppers,Decleer et al. (2000),Kleukers et al. (1997)
Devos_etal_2004,BreedingBirds,Devos et al. (2004),"Birdlife International (2004) | Vermeersch et al. (2004)"
DeKnijf_2006,Dragonflies,De Knijf (2006),De Knijf (2006) | Nederlandse vereniging voor Libellenstudie (2002)
VanLanduyt_etal_2006,VascularPlants,Van Landuyt et al. (2006),Biesbrouck et al. (2001) | Ellenberg et al. (1992) | Hill et al. (2004) | Stieperaere and Fransen (1982)
Desender_etal_2008,CarabidBeetles,Desender et al. (2008b),Desender et al. (2008a) | Homburg et al. (2014) | Turin (2000)
Maes_etal_2011,Butterflies,Maes et al. (2012),Maes et al. (2013)
Jooris_etal_2012,Amphibians,Jooris et al. (2012),Jooris et al. (2013)
Jooris_etal_2012,Reptiles,Jooris et al. (2012),Jooris et al. (2013)
Lock_etal_2013,Waterbugs,Lock et al. (2013),Aukema et al. (2002) | Stoffelen et al. (2013)
Verreycken_etal_2014,FreshwaterFishes,Verreycken et al. (2014),Kottelat and Freyhof (2007) | Vandelannoote et al. (1998) | Van Emmerik and De Nie (2006)
Adriaens_etal_2015,Ladybirds,Adriaens et al. (2015),Adriaens and Maes (2004) | Adriaens et al. (2008) | Baugnée et al. (2011) | Cuppen et al. (2017) | Roy et al. (2011)
Maes_etal_2014,Mammals,Maes et al. (2014),Verkem et al. (2003)
Thomaes_etal_2015,SaproxylicBeetles,Thomaes et al. (2015),Thomaes et al. (2015)
Devos_etal_2016,BreedingBirds,Devos et al. (2016),Birdlife International (2004) | Vermeersch et al. (2004)
Maes_etal_2017,Grasshoppers,Maes et al. (2017),Kleukers et al. (1997)
VanLanduytDeBeer_2017,Hornworts,Van Landuyt and De Beer (2017),Hill et al. (2007) | Siebel (2005) | Siebel and During (2006)
VanLanduytDeBeer_2017,Liverworts,Van Landuyt and De Beer (2017),Hill et al. (2007) | Siebel (2005) | Siebel and During (2006)
VanLanduytDeBeer_2017,Mosses,Van Landuyt and De Beer (2017),Hill et al. (2007) | Siebel (2005) | Siebel and During (2006)
Criel_1994,Mammals,Criel (1994),
Bosmans_1994,Waterbugs,Bosmans (1994),
Bosmans_1994,Waterbeetles,Bosmans (1994),
Desender_etal_1995,CarabidBeetles,Desender et al. (1995),
BauwensClaus_1996,Amphibians,Bauwens and Claus (1996),
DeKnijfAnselin_1996,Dragonflies,De Knijf and Anselin (1996),
BauwensClaus_1996,Reptiles,Bauwens and Claus (1996),
VandelannooteCoeck_1998,FreshwaterFishes,Vandelannoote and Coeck (1998),
MeerhaegheGrootaert_1998,Hoverflies,Meerhaeghe and Grootaert (1998),
Maelfait_etal_1998,Spiders,Maelfait et al. (1998),
DevosAnselin_1999,BreedingBirds,Devos and Anselin (1999),
WalleynVerbeken_1999,Macrofungi,Walleyn and Verbeken (1999),
Pollet_2000,DolichopodidFlies,Pollet (2000),
Grootaert_etal_2001,EmpididFlies,Grootaert et al. (2001),
Bonte_etal_2001,Waterbugs,Bonte et al. (2001),
Dekoninck_etal_2003,Ants,Dekoninck et al. (2003),
VanLoen_etal_2006,Molluscs,van Loen et al. (2006),
Scheers (2012),Waterbeetles,Scheers (2012),
Lock_etal_2011,Grasshoppers,Lock et al. (2011),
