UniqueID;TaxonomicGroup;Kingdom;Phylum;Class;Order;Family;Genus;Species;SpeciesnameAsPublished;SpeciesnameUnique;SpeciesnameDutch;IUCNCriteria;RLCAsPublished;RLC;RLCEurope;Criteria;Validated;ApprovedByMinister;MostRecent;YearPublished;Biome;Biotope1;Biotope2;Cuddliness;Lifespan;Mobility;NutrientLevel;Spine;Reference
INBO_RL_AMP_1996_NONVAL_1;Amphibians;Animalia;Chordata;Amphibia;Anura;Alytidae;Alytes;obstetricans;Alytes obstetricans;Alytes obstetricans;Vroedmeesterpad;;Bedreigd;EN;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Limnophilous;;NonCuddly;Longlived;Sedentary;Mesotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_10;Amphibians;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;arvalis;Rana arvalis;Rana arvalis;Heikikker;;Zeldzaam;NT;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Heathlands;;NonCuddly;Longlived;Sedentary;Oligotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_11;Amphibians;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;esculenta synklepton;Rana esculenta synklepton;Rana esculenta synklepton;Groene kikker;;Momenteel niet bedreigd;LC;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Eurytopic;;NonCuddly;Longlived;Sedentary;Eutrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_12;Amphibians;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;temporaria;Rana temporaria;Rana temporaria;Bruine kikker;;Momenteel niet bedreigd;LC;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Eurytopic;;NonCuddly;Longlived;Sedentary;Eutrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_13;Amphibians;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Salamandra;salamandra;Salamandra salamandra;Salamandra salamandra;Vuursalamander;;Kwetsbaar;VU;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Woodlands;;NonCuddly;Longlived;Sedentary;Mesotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_14;Amphibians;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Triturus;cristatus;Triturus cristatus;Triturus cristatus;Kamsalamander;;Zeldzaam;NT;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Limnophilous;;NonCuddly;Longlived;Sedentary;Mesotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_2;Amphibians;Animalia;Chordata;Amphibia;Anura;Bombinatoridae;Bombina;variegata;Bombina variegata;Bombina variegata;Geelbuikvuurpad;;Uitgestorven in Vlaanderen;RE;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Limnophilous;;NonCuddly;Longlived;Sedentary;Mesotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_3;Amphibians;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;bufo;Bufo bufo;Bufo bufo;Gewone pad;;Momenteel niet bedreigd;LC;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Eurytopic;;NonCuddly;Longlived;Sedentary;Eutrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_4;Amphibians;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;calamita;Bufo calamita;Bufo calamita;Rugstreeppad;;Zeldzaam;NT;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Heathlands;Dunes;NonCuddly;Longlived;Sedentary;Oligotrophic;Vertebrate;BauwensClaus_1996
INBO_RL_AMP_1996_NONVAL_5;Amphibians;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyla;arborea;Hyla arborea;Hyla arborea;Boomkikker;;Met uitsterven bedreigd;CR;LC;Regional;NonValidated;NotApprovedByMinister;No;1996.00;Aquatic;Limnophilous;;NonCuddly;Longlived;Sedentary;Mesotrophic;Vertebrate;BauwensClaus_1996
