"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","UniqueID","TaxonomicGroup","YearPublished","Kingdom","Phylum","Class","Order","Family","Genus","Species","scientificName1","vernacularName","RLCAsPublished","RLC","RLCEurope","Criteria","IUCNCriteria","Reference","Biome","Biotope1","Biotope2","Cuddliness","Lifespan","Mobility","NutrientLevel","Spine","license","rightsHolder","accessRights","datasetName","locationID","locality","countryCode","occurrencestatus","threadStatus"
2426612,"Alytes obstetricans (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Alytes","Amphibia",98,FALSE,"ACCEPTED","Alytidae","INBO:RL:VAL:AMP:2013:15","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","obstetricans","Alytes obstetricans","Vroedmeesterpad","Bedreigd","EN","LC","IUCN","B2a(i)b(iii)c(iv);C2a(i)","Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Mesotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Endangered (EN)"
2423435,"Bombina variegata (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bombina","Amphibia",98,FALSE,"ACCEPTED","Bombinatoridae","INBO:RL:VAL:AMP:2013:16","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","variegata","Bombina variegata","Geelbuikvuurpad","Regionaal uitgestorven","RE","LC","IUCN",,"Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Mesotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Regionally Extinct (EX)"
5217160,"Bufo bufo (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Bufo","Amphibia",98,FALSE,"ACCEPTED","Bufonidae","INBO:RL:VAL:AMP:2013:17","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","bufo","Bufo bufo","Gewone pad","Momenteel niet in gevaar","LC","LC","IUCN",,"Jooris_etal_2012","Aquatic","Eurytopic",,"Low","Longlived","Low","Eutrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Least Concern (LC)"
5216775,"Bufo calamita Laurenti, 1768","SPECIES","Anura","EXACT","Chordata","Animalia","Epidalea","Amphibia",98,TRUE,"SYNONYM","Bufonidae","INBO:RL:VAL:AMP:2013:18","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","calamita","Bufo calamita","Rugstreeppad","Kwetsbaar","VU","LC","IUCN","B2a(i);C2a(i)","Jooris_etal_2012","Aquatic","Heathlands",,"Low","Longlived","Low","Oligotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Vulnerable (VU)"
2427573,"Hyla arborea (Linnaeus, 1758)","SPECIES","Anura","EXACT","Chordata","Animalia","Hyla","Amphibia",98,FALSE,"ACCEPTED","Hylidae","INBO:RL:VAL:AMP:2013:19","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","arborea","Hyla arborea","Boomkikker","Ernstig bedreigd","CR","LC","IUCN","B2a(i)b(iii)c(iv);C2a(i)","Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Mesotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Critically Endangered (CR)"
2431783,"Ichthyosaura alpestris (Laurenti, 1768)","SPECIES","Caudata","EXACT","Chordata","Animalia","Ichthyosaura","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:20","Amphibians",2013,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Ichthyosaura","alpestris","Ichthyosaura alpestris","Alpenwatersalamander","Momenteel niet in gevaar","LC","LC","IUCN",,"Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Eutrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Least Concern (LC)"
5218410,"Lissotriton helveticus (Razoumovsky, 1789)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:21","Amphibians",2013,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","helveticus","Lissotriton helveticus","Vinpootsalamander","Momenteel niet in gevaar","LC","LC","IUCN",,"Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Oligotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Least Concern (LC)"
5218405,"Lissotriton vulgaris (Linnaeus, 1758)","SPECIES","Caudata","EXACT","Chordata","Animalia","Lissotriton","Amphibia",98,FALSE,"ACCEPTED","Salamandridae","INBO:RL:VAL:AMP:2013:22","Amphibians",2013,"Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","vulgaris","Lissotriton vulgaris","Kleine watersalamander","Momenteel niet in gevaar","LC","LC","IUCN",,"Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Eutrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Least Concern (LC)"
2430567,"Pelobates fuscus (Laurenti, 1768)","SPECIES","Anura","EXACT","Chordata","Animalia","Pelobates","Amphibia",98,FALSE,"ACCEPTED","Pelobatidae","INBO:RL:VAL:AMP:2013:23","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","fuscus","Pelobates fuscus","Knoflookpad","Ernstig bedreigd","CR","LC","IUCN","A2c;B2a(i,ii)b(ii,iii)c(iv);C1,C2a(i)","Jooris_etal_2012","Aquatic","Limnophilous",,"Low","Longlived","Low","Mesotrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Critically Endangered (CR)"
9474185,"Pelophylax kl esculentus (Linnaeus, 1758)","SUBSPECIES","Anura","EXACT","Chordata","Animalia","Pelophylax","Amphibia",97,FALSE,"DOUBTFUL","Ranidae","INBO:RL:VAL:AMP:2013:24","Amphibians",2013,"Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","kl. Esculentus","Pelophylax kl. esculentus","Bastaardkikker","Momenteel niet in gevaar","LC","LC","IUCN",,"Jooris_etal_2012","Aquatic","Eurytopic",,"Low","Longlived","Low","Eutrophic","Vertebrate","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Validated Red Lists of Flanders","ISO_3166-2:BE-VLG","Flanders","BE","present","Least Concern (LC)"
