"TaxonomicGroup";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"SpeciesnameAsPublished";"Speciesname";"UniqueID";"SpeciesnameDutch";"RLCAsPublished";"RLC_IUCN";"RLCEurope";"Criteria";"YearPublished";"Reference"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Alytidae";"Alytes";"obstetricans";"Alytes obstetricans";"Alytes obstetricans";"INBO_RL_AMP_1996_NONVAL_1";"Vroedmeesterpad";"Bedreigd";"EN";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Rana";"arvalis";"Rana arvalis";"Rana arvalis";"INBO_RL_AMP_1996_NONVAL_10";"Heikikker";"Zeldzaam";"NT";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Rana";"esculenta synklepton";"Rana esculenta synklepton";"Rana esculenta synklepton";"INBO_RL_AMP_1996_NONVAL_11";"Groene kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Rana";"temporaria";"Rana temporaria";"Rana temporaria";"INBO_RL_AMP_1996_NONVAL_12";"Bruine kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Salamandra";"salamandra";"Salamandra salamandra";"Salamandra salamandra";"INBO_RL_AMP_1996_NONVAL_13";"Vuursalamander";"Kwetsbaar";"VU";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Triturus";"cristatus";"Triturus cristatus";"Triturus cristatus";"INBO_RL_AMP_1996_NONVAL_14";"Kamsalamander";"Zeldzaam";"NT";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bombinatoridae";"Bombina";"variegata";"Bombina variegata";"Bombina variegata";"INBO_RL_AMP_1996_NONVAL_2";"Geelbuikvuurpad";"Uitgestorven in Vlaanderen";"RE";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"bufo";"Bufo bufo";"Bufo bufo";"INBO_RL_AMP_1996_NONVAL_3";"Gewone pad";"Momenteel niet bedreigd";"LC";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Bufo";"calamita";"Bufo calamita";"Bufo calamita";"INBO_RL_AMP_1996_NONVAL_4";"Rugstreeppad";"Zeldzaam";"NT";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Hyla";"arborea";"Hyla arborea";"Hyla arborea";"INBO_RL_AMP_1996_NONVAL_5";"Boomkikker";"Met uitsterven bedreigd";"CR";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Ichthyosaura";"alpestris";"Triturus alpestris";"Ichthyosaura alpestris";"INBO_RL_AMP_1996_NONVAL_6";"Alpenwatersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"helveticus";"Triturus helveticus";"Lissotriton helveticus";"INBO_RL_AMP_1996_NONVAL_7";"Vinpootsalamander";"Zeldzaam";"NT";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Caudata";"Salamandridae";"Lissotriton";"vulgaris";"Triturus vulgaris";"Lissotriton vulgaris";"INBO_RL_AMP_1996_NONVAL_8";"Kleine watersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Amphibians";"Animalia";"Chordata";"Amphibia";"Anura";"Pelobatidae";"Pelobates";"fuscus";"Pelobates fuscus";"Pelobates fuscus";"INBO_RL_AMP_1996_NONVAL_9";"Knoflookpad";"Bedreigd";"EN";"LC";"Regional";1996.00;"BauwensClaus_1996"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Anergates";"atratulus";"Anergates atratulus";"Anergates atratulus";"INBO_RL_ANT_2013_NONVAL_1";"Woekermier";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"rufibarbis";"Formica rufibarbis";"Formica rufibarbis";"INBO_RL_ANT_2013_NONVAL_10";"Rode baardmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"sanguinea";"Formica sanguinea";"Formica sanguinea";"INBO_RL_ANT_2013_NONVAL_11";"Bloedrode roofmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
