"TaxonomicGroup";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"SpeciesnameAsPublished";"Speciesname";"UniqueID";"SpeciesnameDutch";"RLCAsPublished";"RLC_IUCN";"RLCEurope";"Criteria";"YearPublished";"Reference"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"transkaucasica";"Formica transkaucasica";"Formica transkaucasica";"INBO_RL_ANT_2013_NONVAL_12";"Veenmier";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formicoxenus";"nitidulus";"Formicoxenus nitidulus";"Formicoxenus nitidulus";"INBO_RL_ANT_2013_NONVAL_13";"Glanzende gastmier";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Hypoponera";"schauinslandi";"Hypoponera bondroiti";"Hypoponera bondroiti";"INBO_RL_ANT_2013_NONVAL_14";"Ergatoïde staafmier";"Niet geëvalueerd";"NE";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Hypoponera";"punctatissima";"Hypoponera punctatissima";"Hypoponera punctatissima";"INBO_RL_ANT_2013_NONVAL_15";"Tropische staafmier";"Niet geëvalueerd";"NE";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"brunneus";"Lasius brunneus";"Lasius brunneus";"INBO_RL_ANT_2013_NONVAL_16";"Boommier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"emarginatus";"Lasius emarginatus";"Lasius emarginatus";"INBO_RL_ANT_2013_NONVAL_17";"Muurmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"flavus";"Lasius flavus";"Lasius flavus";"INBO_RL_ANT_2013_NONVAL_18";"Gele weidemier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"fuliginosus";"Lasius fuliginosus";"Lasius fuliginosus";"INBO_RL_ANT_2013_NONVAL_19";"Glanzende houtmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Camponotus";"vagus";"Camponotus vagus";"Camponotus vagus";"INBO_RL_ANT_2013_NONVAL_2";"Zwarte reuzenmier";"Niet geëvalueerd";"NE";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"jensi";"Lasius jensi";"Lasius jensi";"INBO_RL_ANT_2013_NONVAL_20";"Puntschubmier";"Geografisch beperkt";"NT";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"meridionalis";"Lasius meridionalis";"Lasius meridionalis";"INBO_RL_ANT_2013_NONVAL_21";"Veldmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"mixtus";"Lasius mixtus";"Lasius mixtus";"INBO_RL_ANT_2013_NONVAL_22";"Wintermier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"myops";"Lasius myops";"Lasius myops";"INBO_RL_ANT_2013_NONVAL_23";"Kleinoogweidemier";"Bedreigd maar mate waarin ongekend";"DD";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"neglectus";"Lasius neglectus";"Lasius neglectus";"INBO_RL_ANT_2013_NONVAL_24";"Plaagmier";"Niet geëvalueerd";"NE";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"niger";"Lasius niger";"Lasius niger";"INBO_RL_ANT_2013_NONVAL_25";"Wegmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"platythorax";"Lasius platythorax";"Lasius platythorax";"INBO_RL_ANT_2013_NONVAL_26";"Humusmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"psammophilus";"Lasius psammophilus";"Lasius psammophilus";"INBO_RL_ANT_2013_NONVAL_27";"Buntgrasmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"sabularum";"Lasius sabularum";"Lasius sabularum";"INBO_RL_ANT_2013_NONVAL_28";"Breedschubmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lasius";"umbratus";"Lasius umbratus";"Lasius umbratus";"INBO_RL_ANT_2013_NONVAL_29";"Schaduwmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"cunicularia";"Formica cunicularia";"Formica cunicularia";"INBO_RL_ANT_2013_NONVAL_3";"Bruine renmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Leptothorax";"acervorum";"Leptothorax acervorum";"Leptothorax acervorum";"INBO_RL_ANT_2013_NONVAL_30";"Behaarde slankmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Leptothorax";"affinis";"Leptothorax affinis";"Leptothorax affinis";"INBO_RL_ANT_2013_NONVAL_31";"Boomslankmier";"Geografisch beperkt";"NT";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Leptothorax";"muscorum";"Leptothorax muscorum";"Leptothorax muscorum";"INBO_RL_ANT_2013_NONVAL_32";"Mosslankmier";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Leptothorax";"nylanderi";"Leptothorax nylanderi";"Leptothorax nylanderi";"INBO_RL_ANT_2013_NONVAL_33";"Bosslankmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Monomorium";"pharaonis";"Monomorium pharaonis";"Monomorium pharaonis";"INBO_RL_ANT_2013_NONVAL_34";"Faraomier";"Niet geëvalueerd";"NE";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmecina";"graminicola";"Myrmecina graminicola";"Myrmecina graminicola";"INBO_RL_ANT_2013_NONVAL_35";"Oprolmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"lonae";"Myrmica lonae";"Myrmica lonae";"INBO_RL_ANT_2013_NONVAL_36";"	Lepelsteekmier";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"microrubra";"Myrmica microrubra";"Myrmica microrubra";"INBO_RL_ANT_2013_NONVAL_37";"Gaststeekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"rubra";"Myrmica rubra";"Myrmica rubra";"INBO_RL_ANT_2013_NONVAL_38";"Gewone steekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"ruginodis";"Myrmica ruginodis";"Myrmica ruginodis";"INBO_RL_ANT_2013_NONVAL_39";"Bossteekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"fusca";"Formica fusca";"Formica fusca";"INBO_RL_ANT_2013_NONVAL_4";"Grauwzwarte mier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"rugulosa";"Myrmica rugulosa";"Myrmica rugulosa";"INBO_RL_ANT_2013_NONVAL_40";"Kleine steekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"sabuleti";"Myrmica sabuleti";"Myrmica sabuleti";"INBO_RL_ANT_2013_NONVAL_41";"Zandsteekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"scabrinodis";"Myrmica scabrinodis";"Myrmica scabrinodis";"INBO_RL_ANT_2013_NONVAL_42";"Moerassteekmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"schencki";"Myrmica schencki";"Myrmica schencki";"INBO_RL_ANT_2013_NONVAL_43";"Kokersteekmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"specioides";"Myrmica specioides";"Myrmica specioides";"INBO_RL_ANT_2013_NONVAL_44";"Duinsteekmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Myrmica";"sulcinodis";"Myrmica sulcinodis";"Myrmica sulcinodis";"INBO_RL_ANT_2013_NONVAL_45";"Heidesteekmier";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Polyergus";"rufescens";"Polyergus rufescens";"Polyergus rufescens";"INBO_RL_ANT_2013_NONVAL_46";"Amazonemier";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Ponera";"coarctata";"Ponera coarctata";"Ponera coarctata";"INBO_RL_ANT_2013_NONVAL_47";"Gewone staafmier";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Solenopsis";"fugax";"Solenopsis fugax";"Solenopsis fugax";"INBO_RL_ANT_2013_NONVAL_48";"Diefmier";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Stenamma";"debile";"Stenamma debile";"Stenamma debile";"INBO_RL_ANT_2013_NONVAL_49";"Gewone drentelmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"lusatica";"Formica lusatica";"Formica lusatica";"INBO_RL_ANT_2013_NONVAL_5";"Duinrenmier";"Bedreigd maar mate waarin ongekend";"DD";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Stenamma";"westwoodi";"Stenamma westwoodi";"Stenamma westwoodi";"INBO_RL_ANT_2013_NONVAL_50";"Engelse drentelmier";"Bedreigd maar mate waarin ongekend";"DD";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Strongylognathus";"testaceus";"Strongylognathus testaceus";"Strongylognathus testaceus";"INBO_RL_ANT_2013_NONVAL_51";"Sabelmier";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tapinoma";"ambiguum";"Tapinoma ambiguum";"Tapinoma ambiguum";"INBO_RL_ANT_2013_NONVAL_52";"Heidedraaigatje";"Sterk bedreigd";"EN";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tapinoma";"erraticum";"Tapinoma erraticum";"Tapinoma erraticum";"INBO_RL_ANT_2013_NONVAL_53";"Mergeldraaigatje";"Met uitsterven bedreigd";"CR";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"caespitum";"Tetramorium caespitum";"Tetramorium caespitum";"INBO_RL_ANT_2013_NONVAL_54";"Zwarte zaadmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"impurum";"Tetramorium impurum";"Tetramorium impurum";"INBO_RL_ANT_2013_NONVAL_55";"Bruine zaadmier";"Momenteel niet bedreigd";"LC";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"polyctena";"Formica polyctena";"Formica polyctena";"INBO_RL_ANT_2013_NONVAL_6";"Kale bosmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"pratensis";"Formica pratensis";"Formica pratensis";"INBO_RL_ANT_2013_NONVAL_7";"Zwartrugbosmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"rufa";"Formica rufa";"Formica rufa";"INBO_RL_ANT_2013_NONVAL_8";"Behaarde bosmier";"Kwetsbaar";"VU";"";"Regional";2003.00;"Dekoninck_etal_2003"
"Ants";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Formica";"rufa x polyctena";"Formica rufa x polyctena";"Formica rufa x polyctena";"INBO_RL_ANT_2013_NONVAL_9";"hybride van Formica rufa-complex";"Bedreigd maar mate waarin ongekend";"DD";"";"Regional";2003.00;"Dekoninck_etal_2003"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Acrocephalus";"arundinaceus";"Acrocephalus arundinaceus";"Acrocephalus arundinaceus";"INBO_RL_BIR_1999_NONVAL_1";"Grote karekiet";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Pelecaniformes";"Ardeidae";"Botaurus";"stellaris";"Botaurus stellaris";"Botaurus stellaris";"INBO_RL_BIR_1999_NONVAL_10";"Roerdomp";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Caprimulgiformes";"Caprimulgidae";"Caprimulgus";"europaeus";"Caprimulgus europaeus";"Caprimulgus europaeus";"INBO_RL_BIR_1999_NONVAL_11";"Nachtzwaluw";"Bedreigd";"EN";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Fringillidae";"Carduelis";"spinus";"Carduelis spinus";"Carduelis spinus";"INBO_RL_BIR_1999_NONVAL_12";"Sijs";"Zeldzaam";"NT";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Cettia";"cetti";"Cettia cetti";"Cettia cetti";"INBO_RL_BIR_1999_NONVAL_13";"Cetti’s zanger";"Zeldzaam";"NT";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Charadrius";"alexandrinus";"Charadrius alexandrinus";"Charadrius alexandrinus";"INBO_RL_BIR_1999_NONVAL_14";"Strandplevier";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Charadriidae";"Charadrius";"hiaticula";"Charadrius hiaticula";"Charadrius hiaticula";"INBO_RL_BIR_1999_NONVAL_15";"Bontbekplevier";"Zeldzaam";"NT";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Laridae";"Chlidonias";"niger";"Chlidonias niger";"Chlidonias niger";"INBO_RL_BIR_1999_NONVAL_16";"Zwarte stern";"Uitgestorven in Vlaanderen";"RE";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Accipitridae";"Circus";"aeruginosus";"Circus aeruginosus";"Circus aeruginosus";"INBO_RL_BIR_1999_NONVAL_17";"Bruine kiekendief";"Kwetsbaar";"VU";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Accipitriformes";"Accipitridae";"Circus";"pygargus";"Circus pygargus";"Circus pygargus";"INBO_RL_BIR_1999_NONVAL_18";"Grauwe kiekendief";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Coturnix";"coturnix";"Coturnix coturnix";"Coturnix coturnix";"INBO_RL_BIR_1999_NONVAL_19";"Kwartel";"Kwetsbaar";"VU";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Acrocephalus";"schoenobaenus";"Acrocephalus schoenobaenus";"Acrocephalus schoenobaenus";"INBO_RL_BIR_1999_NONVAL_2";"Rietzanger";"Bedreigd";"EN";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Gruiformes";"Rallidae";"Crex";"crex";"Crex crex";"Crex crex";"INBO_RL_BIR_1999_NONVAL_20";"Kwartelkoning";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Hirundinidae";"Delichon";"urbicum";"Delichon urbicum";"Delichon urbica";"INBO_RL_BIR_1999_NONVAL_21";"Huiszwaluw";"Achteruitgaand";"NT";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Emberizidae";"Emberiza";"calandra";"Miliaria calandra";"Emberiza calandra";"INBO_RL_BIR_1999_NONVAL_22";"Grauwe gors";"Bedreigd";"EN";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Emberizidae";"Emberiza";"citrinella";"Emberiza citrinella";"Emberiza citrinella";"INBO_RL_BIR_1999_NONVAL_23";"Geelgors";"Bedreigd";"EN";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Emberizidae";"Emberiza";"hortulana";"Emberiza hortulana";"Emberiza hortulana";"INBO_RL_BIR_1999_NONVAL_24";"Ortolaan";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Emberizidae";"Emberiza";"schoeniclus";"Emberiza schoeniclus";"Emberiza schoeniclus";"INBO_RL_BIR_1999_NONVAL_25";"Rietgors";"Achteruitgaand";"NT";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Galerida";"cristata";"Galerida cristata";"Galerida cristata";"INBO_RL_BIR_1999_NONVAL_26";"Kuifleeuwerik";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
"BreedingBirds";"Animalia";"Chordata";"Aves";"Charadriiformes";"Scolopacidae";"Gallinago";"gallinago";"Gallinago gallinago";"Gallinago gallinago";"INBO_RL_BIR_1999_NONVAL_27";"Watersnip";"Met uitsterven bedreigd";"CR";"LC";"ExpertJudgement";1999.00;"DevosAnselin_1999"
